reviewerName,reviewText,isLocalGuide,reviews,photos,rating,timeReviewed,likes,responseTime,responseText
thewilkbunch,"Today was my first time working with Ken Garff Honda. I had to take my car in for the airbag recall. I'm not sure I can say that I have ever been the recipient of such amazing customer service. From the moment I drove my car into the service reception, to the Service Technician I worked with, to the woman who helped me with my complimentary rental car and every other employee we came across. This is not hyperbole...it was the best customer service I have ever experienced. In a world where customer service seems to be a lost art, they are a breath of fresh air and have a customer for life in me.",FALSE,3,0,5,a month ago,0,a month ago,Thank you so much for your glowing review! We are so glad to hear that you enjoyed working with us. 
Markanthony Sotomayor,"Greatest people ever known. Knowledge of every aspect when it comes to cars and safety. When it comes to caring about your loved ones, know you'll be handled with care for you and your family.",FALSE,3,0,5,2 weeks ago,0,2 weeks ago,Thank you for this review! 
Ashley Downs,Absolutely the best experience Iâve ever had buying a car. Mckay made it so easy and smooth. I will definitely buy cars here in the future.,FALSE,3,0,5,a week ago,0,2 days ago,Thank you for your review! We love hearing from our customers and we will make sure that Mckay sees  your kind comments. Congratulations on your new car! 
natascody6412,I had a great buying experience!Lena did a great job and was very friendly.  Iâve been looking for a car for a long time.  Iâve been to 10+ dealers and Lena knew more about the cars I wanted then anyone I talked to.   Over all great experience. Thanks!,FALSE,2,0,5,a month ago,0,a month ago,Thank you for the glowing review! We will make sure Lena is recognized for this. Congratulations on your new car! 
casey christopherson,We have purchase 3 used and 3 new cars here over the years.  Great experience every single time.  Honest and easy to deal with.  Not the pressure and hype I have experienced at other dealers.  These guys are interested in making the customer happy and do a good job at it- I'm happy!!!,FALSE,2,0,5,2 months ago,0,2 months ago,Thank you for the positive comments Casey. We are happy to have you as a return customer and we are glad to hear that you have enjoyed working with us. Congrats on your new car! 
Cristina Guzman,I have gotten all 3 of my cars from Ken Garff Honda In Orem. They always get me an amazing deal and they are always so nice which makes the experience 10 times better. I would definitely recommend them if youâre looking for a great car for a great price!,FALSE,3,0,5,5 days ago,0,2 days ago,Thank you for the glowing review!
Brian Radford,"We recently purchased a vehicle from Ken Garff Honda of Orem and it was a great experience. The sales representative was easy to get along with, was not pushy at all, and was able to respond to any questions that we had.  We enjoy their service and their selection is just what we were looking for.",FALSE,2,0,5,a month ago,0,a month ago,"Brian, congratulations on your new car! We are so glad to hear that you enjoyed working with us and we were able to get you the car you wanted. Thank you for taking the time to tell us about it. "
JustBreathe,Great experience purchasing a new Odyssey. JJ (General Manager) held to his word and made it a great experience. Will be purchasing again in the future. Ask for Paul if you choose to work with this dealership. He's genuine and will do what it takes to make your experience nothing short of epic.,TRUE,83,5,5,4 weeks ago,0,4 weeks ago,Thank you for the review! We really appreciate hearing when customers enjoy working with us. We will make sure that JJ and Paul see your kind words. Congratulations on your new car! 
"Yvette Edery, Rodeo Vegan MUA","Renee is so cool. This place has amazing pop corn. I love Ken Garff. I love Honda. The hot chocolate is amazing too. The service here is timely, the people I like their personalities. I needed the break. I needed to car shop. I needed to charge my phone. They gave me the space I needed.",TRUE,110,213,5,2 months ago,0,2 months ago,Thank you for the review! We are so glad to hear that you enjoyed coming to our store. We really appreciate you taking the time to tell us about it. 
Lindsay Christensen,"Everyone at Ken Garff in Orem went above and beyond to help me and my husband with our new car. I was recently in an accident that totaled my car, about 2 weeks shy of closing on our first home. Insurances werenât helping us, and we needed a new car ASAP. Everyone at Ken Garff was willing to wait to process all of our paperwork until we close on our house, which has been such a huge weight off of our shoulders. While I still wouldnât recommend buying a new car and a new house at the same time, I highly recommend coming here for your next car purchase. Their customer service goes above and beyond what youâd expect from a car buying experience. They care more about the customer rather than the commission. We love our new CRV and will recommend Ken Garff in Orem to anyone!",FALSE,7,0,5,2 weeks ago,0,2 weeks ago,"Thank you for taking the time to tell us about your experience. We try really hard to be accommodating for our customers and we are happy to hear that we were able to help you out. Congratulations on your new car, and your new home!  "
Amanda Olsen,"I love the service department here. They are super friendly and speedy. I do keep buying new cars though. Itâs a little dangerous for me to get my car serviced here...but they are so great, I keep coming back. I feel well taken care of by their service department. JB was great today!",FALSE,4,0,5,3 months ago,0,3 months ago,Thank you for taking the time to review us Amanda. We are grateful that you choose to keep coming back to us! 
Michael Smith,"They are generally pretty quick with my oil changes, especially considering how busy they are when I go. I always make a appointment before hand which I think helps. The employees are nice as well, and I like the free soda/hot chocolate and popcorn. Who wouldnât.",TRUE,32,8,5,a month ago,0,a month ago,Thanks for the review Michael! Come enjoy our snacks anytime! 
Kaio Bezerra,"Dominick was an absolute stud. Honestly, best car salesmen I have eveworked with. The entire process went smooth and really fast. Best experience in car dealerships in Utah, very unique positive culture and genuine customer service. 100% recommend this place and Dominick.",FALSE,2,0,5,2 months ago,0,2 months ago,Thanks for the glowing review Kaio! We love working with Dominick as well. We will be sure to pass along your kind comments. Congratulations on your new car! 
Laycee Young,Everyone in parts was very nice and helpful. Held a battery for us to come get. The transaction was fast and easy when we got there.,TRUE,41,1,5,3 weeks ago,0,3 months ago,Thank you for the stars! 
q,Bought a Honda Pilot 2017. When I hit 30k I started to have problems. By the time I went in I couldnât use my warranty because they said I was over the limit by 500 miles.  I had to buy an extended warranty for them to fix the problem (all my dashboard warnings were going off) They had to fix my fuel injector. 2000k later my check engine light came on again and my vehicle is again sputtering when I take off. Honda has not been very helpful. This was the first time I bought from Honda Orem and this will be the last. They have not been helpful at all. Worst vehicle experience ever!!!,FALSE,1,0,1,6 days ago,0,2 days ago,"We are so sorry to hear about this experience. We would love to have the opportunity to speak with you about it and get some more information from you. We can't look you up based off your Google username, would you mind reaching out to our â¦MoreWe are so sorry to hear about this experience. We would love to have the opportunity to speak with you about it and get some more information from you. We can't look you up based off your Google username, would you mind reaching out to our Brand Advocacy Manager, Carli Anderson, at 801.714.2284 or carlia@kengarff.com?  We look forward to hearing from you. "
Klay Ashby,"Sales associate agreed to replace front bumper cover as condition of purchase, but will not return calls or respond in any way. Have contacted store six times already and was very polite, but maybe I need to be as rude as they seem to be unprofessional to get results. Sales experience was good otherwise, but I would not recommend this sales person.Update. After a hopeful comment on my post suggesting that I would be hearing from the sales manager, nothing ever happened. I still hope Charlie Madon will uphold his promise to replace the front bumper cover cover, but I'm not holding my breath.  The finance team even told me that any items like that were separate from the as-is document I signed, so not to worry about it. At this point I feel ripped off and lied to. I was hoping beyond hope for integrity in an industry not known for having any.",FALSE,4,0,3,a day ago,0,3 weeks ago,"Klay, we would love the opportunity to speak with you about this and try to make it right. We are having a hard time finding your information under your google username. Please reach out to our Brand Advocacy Manager, Carli Anderson, at 801.714.2284 or carlia@kengarff.com. We look forward to hearing from you. "
jered Lemieux,This is the best dealership around hands down! If you need a car Iâd definitely stop by here!,FALSE,5,0,5,2 weeks ago,0,2 weeks ago,Thank you for the glowing review! 
Skyler Halford,Mark was very helpful and competent. We didnât feel pushed. Mark was patient with us and got us the car we wanted even though it wasnât on their lot that day. Mark didnât play any games with us. He was straight forward and it was a pleasure doing business with him.,FALSE,3,0,5,2 months ago,0,2 months ago,We are glad to hear that you got the car you wanted. We will be sure to pass along your kind comments to Mark. Congrats on your new car! 
Jeremy Reynolds,Great overall experience. Everyone was very nice and helpful. I worked with Dominick and he was great!,FALSE,1,0,5,a month ago,0,4 weeks ago,Thank you for taking the time to review us. We will make sure Dominick sees your kind comments. 
J Spencer,"I was towed in on Garff Care as my car became disabled. I was quoted over $1300 for the repair. When I opted out of the quoted work and came in to get my car a week later I was charged $65 for 'diagnosis'. Plus my window was down. I paid you guys $65 to drop my window and keep it down for who knows how long? My regular mechanic quoted the repair for just less than $600. Guess how much the tow quote was to get it from Honda to the mechanicâyep, $65. So this Garff Care benefit pitched at time of sale has been exposed as a simple scam... ""We'll rescue you on the Wasatch Front if a car you buy from us breaks down... but if you refuse the overpriced service, we'll charge youâindirectlyâ for the tow."" I've bought 3 cars from Garff in 12 years. They've lost a customer.",FALSE,5,1,1,2 months ago,0,2 months ago,"We are sorry to hear that your car broke down, and we are glad that you took the time to tell us about your experience. We are looking into this and someone from our store will be contacting you soon. "
Jessica Reed,"We went to check out a used Honda Odyssey. We were informed pretty soon after getting there that it had already been sold, which is fine. But they didnât try to help us find anything else. They made me feel unwelcome, and said they only sold good cars, and didnât offer to show me any of them. We were prepared to potentially drop $55,000 on a car but didnât get the time of day. Wonât be back.",FALSE,12,0,1,3 months ago,0,3 months ago,"Jessica, we are sorry to hear that this was your experience at our store. We would love the opportunity to speak with you about this and see if there is anything we can do to improve the situation. Would you please reach out to our Brand â¦MoreJessica, we are sorry to hear that this was your experience at our store. We would love the opportunity to speak with you about this and see if there is anything we can do to improve the situation. Would you please reach out to our Brand Advocacy Manager at your earliest convenience? Carli Anderson - 801.714.2284 or carlia@kengarff.com.  We look forward to speaking with you. "
Nathan Hadfield,"Mark Walker was great to work with. Not pushy, very patient. Great experience.",FALSE,4,0,5,2 weeks ago,0,2 weeks ago,Thank you for the review. We will make sure that Mark sees your kind comments. 
Jason Transtrum,Paul Stewart is a rock star.  He is great to work with.  He asks good questions about what we were looking for and did a great job of matching up a great vehicle.  Ken Garff Honda is top notch!,FALSE,2,0,5,2 months ago,0,2 months ago,Thank you for taking the time to review us Jason. We really like working with Paul and we will make sure he sees your kind comments. Congratulations on your new car! 
Adam McCune,"We had a very good experience with Randy our sales person and Andy our finance guy. Great people, great experience, no pressure from them, got what we wanted. They donât get a 5 only because there were one or two minor things they said they car could do that it didnât. But overall, very satisfied.",FALSE,3,0,4,2 months ago,0,2 months ago,Thank you for taking the time to review us Adam. We appreciate your feedback. Congratulations on your new car! 
Colby C,"I get yearly email notifications about my car purchase which is a nice touch. Whether it's automated or personal I get a nice email from the seller saying thanks again for your purchase, let us know if you need anything else! I'm getting a little tired of the flyers I get about my car being a hot item and them wanting to trade me up! You don't get near what you can for a trade in and it's rather annoying to be offered so low. Great service as I got about 9 free oil changes that were semi synthetic I believe! Problem is I had an issue with the drain plug not being installed properly on one service and I took it to Hyundai in Lindon to find that out and run some tests as it was causing my car to shut down. I was driving in a few parking lots when it decided to just shut down my car. I would turn the key and it would just click. I shut it down then started back up and it was fine, but it wasn't until they fixed the issue at Hyundai that it stopped happening. I went back to this location to explain and they were nice enough to top me off with oil again but there was oil splattered all under the underside of my vehicle. Also, not too long after my oil change my underguard, the black plastic that protects the underside of your engine started to fall off on the freeway. Seems like the black clips that get put in either failed or weren't properly installed. To say the least the front end was being blown down to the point that it started to grind on the freeway and broke off the front bits so I had to macgeiver the front end until I got back from work and then had to zip tie it. It's the underside of the vehicle so it's not a big deal that it looks ghetto, but simple attention to detail when changing the oil would have been nice for them to either let me know or at least take time and install it properly! (I've heard this is sometimes removed to change the oil.)",TRUE,23,3,4,3 weeks ago,0,2 weeks ago,"Colby, thank you for taking the time to tell us about your experience. We appreciate honest feedback that let's us know where we can improve. We would love to remove you from our mailing list, but we need more information from you to look â¦MoreColby, thank you for taking the time to tell us about your experience. We appreciate honest feedback that let's us know where we can improve. We would love to remove you from our mailing list, but we need more information from you to look you up in our stystem. Please reach out to our Brand Advocacy Manager, Carli Anderson, at 801.714.2284 or carlia@kengarff.com so we can get that taken care of. Thank you! "
Jay Clayton,"Fast and professional service from the phone call setting up the appointment to the minute I drove off the lot. Extra kudos to Spencer Namba for his friendly, knowledgeable, and personable service. And they even have popcorn and coffee while you wait!!!",FALSE,1,0,5,a month ago,0,4 weeks ago,Thank you for the glowing review Jay! We are so glad to hear you enjoyed working with us. 
Jeffery McCleve,"I originally had a 1 Star review on here due to the lack of respect and flat out unprofessionalism from the ânumbers guysâ behind the desk and also my salesman, and believe me it was a deserved 1 star. I just received a call from a nice woman named Carlee, and she asked me why my review was only 1 Star in hopes to improve customer service. I had the most pleasant conversation with her and ONLY because of how respectful she was to me on the phone about my situation, I gave a 3 star review in hopes of in the near future of upping it to a 5 Star. I told her that if she can be my salesperson, I will gladly buy a car from her, but no one else there. She has completely earned my respect and possibly business in the near future. Thank you again Carlee for reaching out to improve your business.",TRUE,51,0,3,3 months ago,0,3 months ago,Thank you for giving us a second chance Jeff. We know that Carli would be happy to work with you in the future if you decide to come back. Thank you for the updated review. 
Jake Bishop,"Service department is a joke. Was told to leave my car there over the weekend as I was close to my 36,000 mile warranty and wanted to have a known issue fixed. A couple days later I got a call stating that they ""extensively"" tested my car for hours and could not replicate the noise I hear on a daily basis. They told me that they drove up to American Fork and back as the engine needs to be warm to detect the issue. I pick up my car later that night and notice the odometer hasn't even moved! Why lie about that? Can't help but think there is more they're lying about. Can't ever get in contact with the service manager. I used to like having service done by the dealer but I will not be returning. Absolutely ridiculous and a waste of time.",FALSE,5,0,1,a month ago,0,a month ago,"Jake, we are so sorry to hear about this experience. We would love the opportunity to speak with you about this, but we cannot find your info in our system based off your google username. Would you mind reaching out our Brand Advocacy â¦MoreJake, we are so sorry to hear about this experience. We would love the opportunity to speak with you about this, but we cannot find your info in our system based off your google username. Would you mind reaching out our Brand Advocacy Manager, Carli Anderson, at 801.714.2284 or carlia@kengarff.com? We look forward to hearing from you! "
doug hicken,"Well, interesting I would say.  I brought my car in with an issue I knew would be difficult and I don't think they believed me.  Needless to say after a week they did.  Instead of getting on with Honda tech they waited.A few things they could improve on:1) document what happens in the computer so that when I call and my 'service advisor' isn't available that someone has any type of clue what is going on.  When we picked the car up they had no idea what they had or hadn't done on it because my service advisor wasn't in. 2) Reply to my texts using your text service3) Answer the phone.  I can't tell you how often I called and no one answered4) When you say someone will telephone me back in half an hour actually have someone do it.  I waited six hours5) Don't leave the car on empty after driving it around to troubleshoot it.  I gave them permission to put gas in it yet when we picked it up it was absolutely empty.6) Listen to your customers.  Some of us aren't as dumb as you think.7) Service advisors should be a bit more knowledgeable",FALSE,2,0,2,3 months ago,0,3 months ago,"Doug, thank you for taking the time to speak with our Brand Advocacy Manager earlier today. We truly appreciate your feedback and for you giving us a chance to try to improve things. If there is anything we can do for you in the future, don't hesitate to reach out. "
John Wollenzien,"My original review was three Stars, but after visiting Stockton 12 in Sandy, I realized that the Garff people do a much better job listening and demonstrating and they put less pressure on making a decision while they have you in the building.  Where Stockton 12 was rife with obfuscation, Garff was very open with pricing and costs.",TRUE,82,7,5,a month ago,0,a month ago,"Hey John,  we would love to speak with you about your experience with our store. Unfortunately we are having a hard time finding your contact information in our system. Would you mind reaching out to our Brand Advocacy Manager, Carli Anderson, at 801.714.2284 or carlia@kengarff.com. We look forward to hearing from you. "
Steven Brande,Great car. The sales staff made the process more pleasant by not haggling so much.,FALSE,2,0,5,2 weeks ago,0,2 weeks ago,Thank you for taking the time to tell us about your experience. Congratulations on your new car! 
Erik Johnson,"Got to the dealership just in time!  Mitchell couldnât have done better, he was quiet on the test drive, got me a good trade on my truck, and made the paper work process smooth.Colton with finances has a lot of character and is very personable with out being pushy. Jesse with service inspected the vehicle I came to buy found some issues and did everything to accelerate the repair time for me as Iâm an out of state purchase and had a long drive ahead of me.  Thanks Ken Garff Honda please recognize your employees who represented you well!",FALSE,1,0,5,3 months ago,0,3 months ago,Thank you for telling us about this. We will make sure we recognize these employees. Congrats on your new car! 
Jim Olsen,Paul Stewart was incredible to work with. There was not pressure and he took time to answer everyone of our questions. I truly felt like he cared.,FALSE,1,0,5,a month ago,0,a month ago,"Jim, thank you for the review. We love working with Paul and we are happy to hear that you did too. Congratulations on your new car! "
Richard Tyson,"We were treated with the utmost care and respect. Cornel took the time to show us multiple vehicles and buying/leasing alternatives, Andy carefully explained Financial paperwork. All interactions with Ken Garff personnel was very pleasant.",FALSE,1,0,5,2 months ago,0,2 months ago,"Thank you, Richard, for taking the time to tell us about your experience. We will make sure that Cornel and Andy see your kind comments. Congratulations on your new car! "
Allan Stokes,"Mark helped my wife and I navigate the different options they had at their location. He was very knowledgeable and had the info of cars we were looking at, at his fingertips. We even brought it back a couple days later to get the tires balanced and the did it for free. overall, it was a pleasant experience.",TRUE,24,13,5,3 months ago,0,3 months ago,Thank you for the review Allan. 
Mikayla Meeker,"Iâll start off by saying that I have not had the best of luck at car dealerships until Shawn Soto restored my trust - I was lucky enough to get Shawn as my salesman! He was very honest, patient, and transparent. It was not about a sale for Shawn, it was about making sure my needs were met. If you are in the market for a new car, I would highly recommend Shawn Soto! He is fantastic!",FALSE,1,0,5,3 months ago,0,3 months ago,"Congrats on the new car Mikayla! We really enjoy working with Shawn as well, and we will make sure he sees your review. Thanks for taking the time to tell us about your experience. Don't hesitate to call if you need anything in the future! "
Olivia Garcia,"I wasnât looking forward going to buy a car because of past experiences Iâve had. This time it was different though, from the minute we walked in the door we actually had a wonderful experience. Shawn was really nice and answered all of our questions. Not to mention, he was great with kids! We took our two little ones and he made sure car buying was a great experience for them as well :) The service was incredible, I would definitely buy another car at Ken Garff in Orem. David and Andy were also really great ð",FALSE,2,0,5,5 months ago,0,5 months ago,Congratulations on your new car Olivia! We are glad to hear that you had a wonderful experience with us. We will be sure to pass along your kind comments. 
Hootie Hennessey,They promptly resolved concerns I had with my vehicle and the service provided. Great customer support!,FALSE,8,0,5,a month ago,0,a month ago,"Thank you, Mr. Hennessey! We are grateful for you being willing to work with us on finding a solution. "
Melissa Durfee,"I had my rear brakes replaced here 5 weeks ago. My new brakes screech painfully loud. We went in today to have it looked at. After we sat for 2 hours they told us they could do nothing to fix it. My front brakes are near 4 years old and silent. My new ones are painfully loud. This to me shows laziness and unwillingness to serve a customer. I feel like this place has poor customer service and that they waste precious time. And no, movie tickets will not change my opinion. Movie tickets do not fix brakes. You would think that a car dealership would care more about their customers to keep business. Do not come here unless you have no other options.",FALSE,1,0,1,2 months ago,0,2 months ago,"Thank you for taking the time to tell us about your experience at our store. We appreciate you being willing to work with our Brand Advocacy Manager on this situation, we understand that she is working on a refund for you. Please don't hesitate to reach out in the future if there is anything else we can do for you. "
Chelsie Reichmann,"I have leased a car twice now from Ken Garff Honda in Orem and both times I have had the best experience. I never once felt pressured into anything or felt like they were being dishonest in any way. My salesman, Cornel, was very prosfessional and made sure I was understanding every step of the process.  The manager David even came by to check on me a few times to make sure everything was going well. I would recommend this dealership to anyone and will ABSOLUTELY be returning to Ken Garff Honda in Orem in the future. Thanks for everything guys!",FALSE,4,0,5,2 months ago,0,2 months ago,Chelsie we are so glad to hear that you enjoyed your experience with us. Thank you for taking the time to tell us about it. Congratulations on your new car! 
Jared Boulder Terry,"Zach and Sara were awesome worked with me from start to finish, were super chill no pressure. They allowed me to add accessories and made sure everything would work out thank you",TRUE,12,3,5,a month ago,0,a month ago,Thank you for taking the time to review us. We will make sure that Zach and Sara see your kind comments. Congratulations on your new car! 
Layton Simons,Thank You Mark for the amazing salesman and salesmanship you provided to my family and I on the purchase of our Honda Accord,FALSE,1,0,5,a month ago,0,4 weeks ago,We are so glad to hear you enjoyed working with Mark. We love having him here. Congratulations on your new car!
Andrew Whittaker,"I am enjoying my truck. After spending $2000 extra to get it into working order, it is a fine machine. However, the experience I had while purchasing it has chased me off from ever walking past their front doors again.At the time, their salespeople did not sell me a truck. No, what this dealership sold me was a death trap. The engine was constantly shutting down while I was out driving, the transmission was falling out, and half the time the truck wouldn't even start. Several times I took the truck in so their mechanics could correct these issues, but the only thing they could correct was the electrical short that was causing the engine to shut down. I took it to my personal mechanic and they found the starting issue the first time. The embarrassing lack of skill that their mechanics showed is matched by the bullying I received by the sales manager at the time. I took the truck in less than a week after signing my contract in order to attempt to unwind the deal and get my trade-in back. I was lied to and told they had already sold the trade-in, this after being told it would take a few weeks to get the vehicle ready to sell because of some damage by the rear tires. When I wanted to unwind anyways, your sales manager at the time threatened to take me to court if I didn't cooperate. I broke down in tears at the time as the only way out for me was to walk away with a death trap.""Ken Garff: We Hear You"". Well, hear this. Ken Graff managers strong-arm people into keeping the POS vehicles they sell and employees incompetent mechanics. I am never walking through their doors again.Edit: Reply to Ken Garff's Reply: Your GSM threatened to take me to court because I wanted out of a deal and lied to me about selling my trade-in. If that's what you consider ""working with me"" then you have a lot to learn about business.",TRUE,29,1,1,a week ago,0,a week ago,"Mr. Whittaker, we are so sorry to hear about this experience. We appreciate you taking the time to speak with us when this initially happened and we understand that our GSM has previously worked with you on this situation. We have tried to â¦MoreMr. Whittaker, we are so sorry to hear about this experience. We appreciate you taking the time to speak with us when this initially happened and we understand that our GSM has previously worked with you on this situation. We have tried to help in what ways we legally can, and we always appreciate feedback from our customers on how we can improve. "
Adam Hirchak,Very impressed!! Zachary in the sales department and Cornell in the finance department did an excellent job in helping me make the right choice on which car to buy! And pricing for me! Every time I walked in there dealership the entire staff was engaging and wanting to help. Iâve never had a better experience purchasing a car before. Ken Garfield Honda in Orem made it too easy for me. Thanks Honda!,FALSE,3,1,5,5 months ago,0,5 months ago,"Thank you so much for your awesome review, Adam! We're so happy to hear that Zachary and Cornell took such great care of you--congrats on your new car! Come back and see us any time."
evadee moulton,I had a great experience with Brent and was able to get just what I wantedð,FALSE,1,0,5,2 weeks ago,0,2 weeks ago,Thank you for taking the time to review us. Congratulations on your new car! 
Brandon Petersen,"I HATE buying cars. Iâd rather prefer a root canal to the experience. However, the salesperson and staff were all very polite with my time (which I was very limited on) and were able to have all of the questions, negotiations and paperwork as complete and prepped as possible. I was able to walk in, sign and be on my way. It made a buying experience that I loathe much more bearable. Thanks Ken Garff team!",FALSE,1,0,5,3 months ago,0,3 months ago,"Brandon, we are so glad to hear that we exceeded your car-buying expectations. Thank you for taking the time to leave us this review. Congrats on your new car! "
Sheryl Preston,Shawn Soto really made it a great experience. I came in to look at what they had available. Iâve owned two Honda vehicles in the past and knew that they were reliable vehicles when taken care of. Shawn was knowledgeable and without excessive reiteration (that you usually get with most salesmen) I did not have to state more than once the things I was interested in a vehicle. He was personable. He was not pushy and did not try to sell me into any vehicle. I left the lot without a car last week. I still needed to find a car before Monday and had been searching using other websites and car companies. I searched all weekend and through the next week. Yesterday I got a call from Shawn. He said he had two new cars just in (one of which that was SO new that it was not listed on their websites inventory yet.) He remembered the characteristics I was interested in specifically and began to list all the features I was looking at (and remembered all the features one by one). I came in within a few hours and was able to inspect the vehicle before anyone else.  The best salesman out there and Iâve seen quite a these last few weeks. This sale only happened because he was attentive and paid attention to what I needed.  He even tried to work with me to get a lower price and helped get the car through their inspection TWICE to ensure it was looking great inside and out. He even was able to throw in a much needed roof rack. Thank you!,FALSE,1,0,5,4 months ago,0,3 months ago,"Sheryl, thank you for taking the time to tell us about your experience. We love working with Shawn and we are glad to hear that you did too!  We will make sure he sees your kind comments. Congratulations on your new car! "
